IDS,COUNTY_NAME,LONGITUDE,LATITUDE,SURFELV,WELL_TYPE,LOG_TYPE,TOP_JTOWN,THICK_JTOWN,TOP_COLCH,THICK_COLCH,TOP_SEELY,THICK_SEELY,TOP_DEKOVEN,THICK_DEKOVEN,TOP_LWRDEK,THICK_LWRDEK,TOP_DAVIS,THICK_DAVIS
02324236000C,CLARK,-87.665985,39.3354,570,Coal Test,Drillers Log,,,,,-146.3,4.2,,,,,,
02324237000C,CLARK,-87.630163,39.280561,450,Coal Test,Drillers Log,,,-123,2.5,-181.7,4.6,,,,,,
02324238000C,CLARK,-87.696541,39.333174,580,Coal Test,Drillers Log,,,,,-196,4.2,,,,,,
02324241000C,CLARK,-87.665792,39.394546,590,Coal Test,Drillers Log,,,,,-130.3,4.25,,,,,,
02324242000C,CLARK,-87.656749,39.295642,535,Coal Test,Drillers Log,,,,,-188.4,4.2,,,,,,
02324243000C,CLARK,-87.614085,39.365797,467,Coal Test,Drillers Log,,,,,-122.3,7.6,,,,,,
02324244000C,CLARK,-87.631566,39.374717,560,Coal Test,Drillers Log,,,,,-109.9,4.1,,,,,,
02324245000C,CLARK,-87.66552,39.373111,579,Coal Test,Drillers Log,,,,,-132.8,3.6,,,,,,
02324246000C,CLARK,-87.647173,39.351383,560,Coal Test,Drillers Log,,,,,-174.3,5.2,,,,,,
02324247000C,CLARK,-87.607574,39.359226,463,Coal Test,Drillers Log,,,,,-129.5,7.5,,,,,,
02324248000C,CLARK,-87.58935,39.347375,456,Coal Test,Drillers Log,,,,,-133.7,6.6,,,,,,
02324270000C,CLARK,-87.615419,39.346345,538,Coal Test,Drillers Log,,,,,-151.3,6.06,,,,,,
02324271000C,CLARK,-87.638127,39.339104,553,Coal Test,Drillers Log,,,,,-156.4,3.6,,,,,,
02324272000C,CLARK,-87.60541,39.327245,475,Coal Test,Drillers Log,,,,,-137,4.9,,,,,,
02324273000C,CLARK,-87.661299,39.316999,555,Coal Test,Drillers Log,,,,,-171.2,3.2,,,,,,
02324274000C,CLARK,-87.64261,39.295217,520,Coal Test,Drillers Log,,,,,-194.4,9.5,,,,,,
02324275000C,CLARK,-87.629755,39.300946,475,Coal Test,Drillers Log,,,,,-193.5,4.7,,,,,,
02324276000C,CLARK,-87.654708,39.266737,520,Coal Test,Drillers Log,,,,,-165.4,3.7,,,,,,
02324291000C,CLARK,-87.932919,39.219894,544.7,Dry Hole,Electric Log,389.7,2,234.7,,202.7,2.5,,,,,,
02324423000C,CLARK,-87.666294,39.343362,565,Coal Test,Drillers Log,,,,,-148.6,6.1,,,,,,
02324458000C,CLARK,-87.60281,39.225349,462,Producer-Oil and Gas,Nuclear Log,102,5,,,-178,0,,,,,,
02324459000C,CLARK,-87.672065,39.173022,516,Producer-Oil and Gas,Gamma Ray Density,30.5,6.5,-205,1,-247,6.5,,,,,,
02324524000C,CLARK,-87.939809,39.186258,575.5,Dry Hole,Gamma Ray Density,418.5,3,,,236.5,5,,,,,,
02324533000C,CLARK,-87.933108,39.182886,572.4,Dry Hole,Gamma Ray Density,361.9,3,,,175.9,5,,,,,,
02324549000C,CLARK,-87.675834,39.279692,530,Coal Test,Drillers Log,80.6,2.1,,,,,,,,,,
02324557000C,CLARK,-87.921303,39.473833,724,Dry Hole,Nuclear Log,,,260,0,,,,,,,,
02324590000C,CLARK,-87.647492,39.273725,524,Coal Test,Drillers Log,92.6,3.3,,,,,,,,,,
02324591000C,CLARK,-87.647492,39.273725,524,Coal Test,Drillers Log,96.6,3.4,,,,,,,,,,
02324592000C,CLARK,-87.637159,39.259545,456,Coal Test,Drillers Log,98.2,5.3,,,,,,,,,,
02324622000C,CLARK,-87.675827,39.28326,530,Coal Test,Drillers Log,79.2,1.6,,,,,,,,,,
02324625000C,CLARK,-87.948893,39.210441,584,Producer-Oil and Gas,Electric Log,188,3,8,,-34,4,,,,,,
