IDS,COUNTY_NAME,LONGITUDE,LATITUDE,SURFELV,WELL_TYPE,LOG_TYPE,TOP_DANVILLE,THICK_DANVILLE,TOP_HERRIN,THICK_HERRIN,TOP_SPRING,THICK_SPRING,TOP_COLCH,THICK_COLCH,TOP_SEELY,THICK_SEELY
02301294000C,CLARK,-87.985454,39.407228,671,Oil and Gas Test,Electric Log,,,542,2,522,2,450,,,
02301295000C,CLARK,-87.990216,39.408893,668,Oil and Gas Test,Nuclear Log,,,565,2,541,2.5,473,,,
02301313000C,CLARK,-87.846785,39.235982,580,Oil and Gas Test,Electric Log,70,,23,,-14,2.5,-170,,-218,3
02301327000C,CLARK,-88.007161,39.421443,657,Oil and Gas Test,Electric Log,,,514,3,497,2.5,427,,,
02301328000C,CLARK,-87.732198,39.260303,580,Oil and Gas Test,Electric Log,28,2,-20,,-62,2.5,,,,
02301363000C,CLARK,-87.97131,39.438487,644,Oil and Gas Test,Electric Log,,,464,2,441,1.5,355,,332,
02301366000C,CLARK,-88.004637,39.416927,660,Oil and Gas Test,Electric Log,,,534,3,516,3,447,,,
02301375000C,CLARK,-87.836962,39.225401,583,Oil and Gas Test,Electric Log,36,3.3,-17,2,-60,2.5,-225,,-267,6
02301387000C,CLARK,-87.544105,39.376022,464,Coal Test,Drillers Log,331,2.33,213.3,2.58,196.4,4.17,,,,
02301413000C,CLARK,-87.748686,39.267103,579,Oil and Gas Test,Electric Log,15,3,-35,,-81,2.5,,,,
02301426000C,CLARK,-87.971461,39.403962,650,Oil and Gas Test,Electric Log,,,505,1.5,485,2,409,,380,3
02301428000C,CLARK,-88.000166,39.425302,658,Oil and Gas Test,Electric Log,,,529,2,511,2.5,437,,,
02301429000C,CLARK,-87.981108,39.423816,664,Oil and Gas Test,Electric Log,,,515,2,495,2,415,,,
02301452000C,CLARK,-87.622924,39.354561,552,Oil and Gas Test,Electric Log,190,2,56,,38,,-128,,-164,5
02301459000C,CLARK,-87.556959,39.366959,540,Oil and Gas Test,Nuclear Log,340,4,,,200,3.5,33,,10,3
02301470000C,CLARK,-88.012591,39.480239,710,Oil and Gas Test,Electric Log,575,,453,,437,,355,,340,
02301480000C,CLARK,-87.884184,39.291716,608,Oil and Gas Test,Electric Log,,,402,2,375,2.5,291,,242,2.5
02301484000C,CLARK,-87.578662,39.342224,453,Oil and Gas Test,Electric Log,219,,91,,69,,-99,,-129,
02301492000C,CLARK,-87.973543,39.359542,667,Oil and Gas Test,Electric Log,567,3.5,485,3,466,3.5,384,,342,2.5
